loss,train,estimators,train_time,params,iteration
-0.770029345960289,-0.8734443067391291,190.8,2.760961354229039,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9876509894171217, 'learning_rate': 0.01696052796763613, 'min_child_samples': 205, 'num_leaves': 73, 'reg_alpha': 0.8816901813762961, 'reg_lambda': 0.9266216680564229, 'subsample_for_bin': 240000, 'subsample': 0.951156659315884}",2
-0.7562693961579484,-0.9324798543823578,19.6,2.5590597856880777,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7163170895046528, 'learning_rate': 0.0721421345223568, 'min_child_samples': 45, 'num_leaves': 125, 'reg_alpha': 0.5774450190714361, 'reg_lambda': 0.11127903518151272, 'subsample_for_bin': 120000, 'subsample': 0.8524662826978437}",3
-0.7659967528840934,-0.7958632094963909,88.8,1.1403039687975252,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8745311994489595, 'learning_rate': 0.1675492817705407, 'min_child_samples': 345, 'num_leaves': 148, 'reg_alpha': 0.8960734667462977, 'reg_lambda': 0.05858932736205069, 'subsample_for_bin': 220000, 'subsample': 1.0}",4
-0.76974018229433,-0.8468598832488935,31.4,2.4612723089840074,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7326497390004303, 'learning_rate': 0.0118109065597024, 'min_child_samples': 165, 'num_leaves': 140, 'reg_alpha': 0.31726459827658204, 'reg_lambda': 0.12740897687673036, 'subsample_for_bin': 180000, 'subsample': 0.9399729512524142}",5
-0.7656715124178234,-0.7921103556202029,193.4,7.926881259201764,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8165324531609452, 'learning_rate': 0.011176881321429404, 'min_child_samples': 430, 'num_leaves': 103, 'reg_alpha': 0.4925055802976366, 'reg_lambda': 0.15434133613655165, 'subsample_for_bin': 40000, 'subsample': 0.9219484567824576}",6
-0.770635233684979,-0.8277642060694885,108.4,5.750720213538443,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6058521977397452, 'learning_rate': 0.10867704484068538, 'min_child_samples': 500, 'num_leaves': 67, 'reg_alpha': 0.1580215527397284, 'reg_lambda': 0.7237977553732841, 'subsample_for_bin': 60000, 'subsample': 0.7996725607202462}",7
-0.7653724256508554,-0.8384654609220629,39.4,2.381363877365402,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9212142709864909, 'learning_rate': 0.19815011642979646, 'min_child_samples': 325, 'num_leaves': 73, 'reg_alpha': 0.510872571404728, 'reg_lambda': 0.5288742652869591, 'subsample_for_bin': 100000, 'subsample': 0.763381753629196}",8
-0.7710513582822182,-0.8656231743604319,42.0,1.8924230805114348,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9968856176019375, 'learning_rate': 0.13181113010853668, 'min_child_samples': 160, 'num_leaves': 45, 'reg_alpha': 0.7649009609844077, 'reg_lambda': 0.1777122157873503, 'subsample_for_bin': 140000, 'subsample': 1.0}",9
-0.7690972734348496,-0.869413064448883,99.6,7.384318687095401,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8668651399974404, 'learning_rate': 0.08072284627936958, 'min_child_samples': 190, 'num_leaves': 109, 'reg_alpha': 0.6831782127960068, 'reg_lambda': 0.5824150830028586, 'subsample_for_bin': 180000, 'subsample': 0.6238483045542018}",10
-0.7656916000733693,-0.809228014518391,169.8,1.8170617790756296,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7962629181421657, 'learning_rate': 0.04696669586935191, 'min_child_samples': 380, 'num_leaves': 62, 'reg_alpha': 0.4207935053521299, 'reg_lambda': 0.19413818913167435, 'subsample_for_bin': 300000, 'subsample': 0.5101429382332616}",11
-0.7652066235162664,-0.8008862807044066,145.6,1.6825314652533052,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6728242916329353, 'learning_rate': 0.07237119810123435, 'min_child_samples': 290, 'num_leaves': 63, 'reg_alpha': 0.2035097267956385, 'reg_lambda': 0.32867421742294944, 'subsample_for_bin': 120000, 'subsample': 1.0}",12
-0.7679834853133441,-0.8240886346274106,98.4,1.8425298040974667,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9512932965611249, 'learning_rate': 0.163650130753891, 'min_child_samples': 460, 'num_leaves': 97, 'reg_alpha': 0.9489649422983185, 'reg_lambda': 0.1320878632253344, 'subsample_for_bin': 60000, 'subsample': 0.5230248816849885}",13
-0.7659912015025381,-0.7889876971190551,131.4,1.559954648164421,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.850019416219242, 'learning_rate': 0.1637476712712245, 'min_child_samples': 420, 'num_leaves': 70, 'reg_alpha': 0.5848254709506231, 'reg_lambda': 0.8309606886999709, 'subsample_for_bin': 100000, 'subsample': 1.0}",14
-0.7702375315707892,-0.8681366298792256,103.6,4.990741899589011,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7374683404741629, 'learning_rate': 0.16234036496347737, 'min_child_samples': 270, 'num_leaves': 102, 'reg_alpha': 0.42266337199456505, 'reg_lambda': 0.015073695709257096, 'subsample_for_bin': 300000, 'subsample': 0.6675646142302474}",15
-0.7677977137430008,-0.8453320854586032,85.8,2.1643309978544494,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6568224274284205, 'learning_rate': 0.06728344014354547, 'min_child_samples': 270, 'num_leaves': 86, 'reg_alpha': 0.6287579125274287, 'reg_lambda': 0.5783112562111145, 'subsample_for_bin': 280000, 'subsample': 0.8916810178366851}",16
