boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,metric,verbose,loss,iteration,boosting_int
gbdt,balanced,0.7125187075392453,0.022592570862044956,250,49,0.2035211643104735,0.6455131715928091,200000,0.983566228071919,auc,1,0.22898740527449726,413,1
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,auc,1,0.2292587637945529,5,1
gbdt,,0.7024784577956141,0.013981621461178624,255,36,0.2351509602112803,0.8074421575590184,20000,0.9957409520899171,auc,1,0.2292777080540913,66,1
gbdt,balanced,0.6799089216811582,0.018139499534982364,245,43,0.6523468841932534,0.5727817375493998,180000,0.9225938204630164,auc,1,0.2297347144865498,406,1
gbdt,balanced,0.6876078536536474,0.027415313871704483,255,45,0.4557831840791652,0.6219900754322586,20000,0.7900350239636332,auc,1,0.2297369157166597,309,1
gbdt,balanced,0.7175633720571428,0.013742775161824336,250,78,0.22900534312914983,0.9092452840718128,60000,0.6943311158044493,auc,1,0.22976641926469954,213,1
gbdt,,0.6792630084350102,0.014216916399327406,260,47,0.9517686387497456,0.6506440914322448,20000,0.8966692742179408,auc,1,0.22977458500981365,156,1
gbdt,balanced,0.7018200124321667,0.016824068042648615,260,30,0.5825874500945208,0.6100065281593176,140000,0.8622269551143684,auc,1,0.22985282679772825,334,1
gbdt,,0.7408305357235242,0.014739336205855744,250,36,0.2535476073228797,0.7318273501598833,20000,0.9915882611528879,auc,1,0.2299011265857576,67,1
gbdt,,0.7414388049285232,0.015346178797926241,250,36,0.2465784585418745,0.6609853517421412,20000,0.9760595548210347,auc,1,0.2300155636388184,258,1
gbdt,balanced,0.6651853938319687,0.01825536390464476,260,81,0.7499552563005866,0.8589696543927967,20000,0.6667650351704436,auc,1,0.2301609872388084,225,1
gbdt,balanced,0.6008398891321262,0.0339783973172787,250,75,0.8542771462235726,0.9391477285190134,80000,0.5784824478252761,auc,1,0.23022037335464215,218,1
gbdt,balanced,0.6846946191648016,0.017036831938151736,260,30,0.7181215840918722,0.6212685829703132,140000,0.8550348641216572,auc,1,0.23031194082671824,402,1
gbdt,balanced,0.6873117609413679,0.01421710363119827,270,44,0.9254816224120235,0.49411669646050504,200000,0.9490463618591439,auc,1,0.23040374490580065,410,1
gbdt,balanced,0.6525342503549723,0.02665927302496566,245,49,0.875356731956763,0.5532690156482847,20000,0.7079475097434698,auc,1,0.2304788216544974,331,1
gbdt,balanced,0.7153407608894815,0.022657013794997058,280,34,0.2852475932848587,0.47545770509667945,180000,0.9557498464318226,auc,1,0.23048358771576796,422,1
gbdt,balanced,0.7280069061940251,0.023769786514060007,250,49,0.1397743152202639,0.6370565799609138,180000,0.9854925978098238,auc,1,0.23052017293393026,415,1
gbdt,,0.6892541451143711,0.026279271432811845,275,35,0.6982902986974893,0.8334533199737342,80000,0.855359099542871,auc,1,0.23053098508916106,125,1
gbdt,balanced,0.6569091571705533,0.015726221719245252,245,52,0.887792719500419,0.5349736851066234,220000,0.9249548979106405,auc,1,0.23056381907705106,409,1
