class_weight,boosting_type,num_leaves,learning_rate,subsample_for_bin,min_child_samples,reg_alpha,reg_lambda,colsample_bytree,subsample,metric,verbose,loss,iteration
,gbdt,41,0.006945380919765311,120000,255,0.5918367346938775,0.5102040816326531,0.6444444444444444,0.803030303030303,auc,1,0.23149636802638696,146
balanced,gbdt,117,0.02331834634070841,160000,250,0.7551020408163265,0.5918367346938775,0.7777777777777778,0.5606060606060606,auc,1,0.23181544266647802,402
,gbdt,114,0.011307840449539407,260000,280,0.14285714285714285,0.3877551020408163,0.6888888888888889,0.5656565656565656,auc,1,0.23186448115055147,419
,gbdt,79,0.011820167638891784,60000,260,0.5714285714285714,0.836734693877551,0.6,0.6666666666666667,auc,1,0.2319641725970737,369
balanced,dart,143,0.05532928317911197,140000,280,0.6122448979591836,0.6938775510204082,0.6,0.7727272727272727,auc,1,0.23197826024550383,36
balanced,dart,72,0.10636616732547971,280000,280,0.5918367346938775,0.9795918367346939,0.6444444444444444,0.8232323232323233,auc,1,0.23260978452951253,284
balanced,dart,64,0.0600116605611819,240000,255,0.7959183673469387,0.8163265306122448,0.6444444444444444,0.7070707070707071,auc,1,0.2331776278880493,292
,dart,72,0.015082225756147042,120000,300,0.061224489795918366,0.5714285714285714,0.6444444444444444,0.5353535353535354,auc,1,0.23382669669370304,337
balanced,goss,52,0.006546926286978412,160000,495,0.9795918367346939,0.9183673469387754,0.6444444444444444,1.0,auc,1,0.2340177433948799,160
balanced,gbdt,50,0.012632507993991704,180000,245,0.0,1.0,0.8222222222222222,0.6565656565656566,auc,1,0.23402340654432552,38
,dart,104,0.00929791343190622,200000,290,0.6530612244897959,0.7346938775510203,0.6,0.8484848484848485,auc,1,0.23413300576906193,406
,gbdt,53,0.09451185205828212,160000,265,0.6122448979591836,0.42857142857142855,0.7333333333333333,0.893939393939394,auc,1,0.23416379187285208,181
balanced,gbdt,67,0.07828876232228349,220000,210,0.4693877551020408,0.9183673469387754,0.9555555555555555,0.5202020202020202,auc,1,0.23436319999650135,465
,gbdt,82,0.05891383931113318,80000,185,0.9795918367346939,0.3469387755102041,0.7777777777777778,0.6767676767676768,auc,1,0.23441767679729653,271
balanced,gbdt,133,0.007673526341891829,120000,260,0.9183673469387754,0.32653061224489793,0.9555555555555555,0.8484848484848485,auc,1,0.23451301091834797,19
,dart,73,0.11159664496056187,40000,480,0.4693877551020408,1.0,0.8222222222222222,0.5353535353535354,auc,1,0.23459125971476413,45
,gbdt,133,0.005226536265540098,80000,295,0.3061224489795918,0.7551020408163265,0.6,0.6666666666666667,auc,1,0.2347686975883242,378
,dart,37,0.10755101209788154,280000,290,0.3469387755102041,1.0,0.7777777777777778,0.8484848484848485,auc,1,0.23491315429546566,264
balanced,gbdt,145,0.1455844269527345,240000,270,0.673469387755102,0.5102040816326531,0.7333333333333333,0.6818181818181819,auc,1,0.23505994875832337,54
balanced,dart,93,0.005838803744176648,280000,260,0.26530612244897955,0.5714285714285714,0.6,0.9595959595959596,auc,1,0.23557772618648598,343
balanced,gbdt,51,0.07685658953929919,100000,485,0.3877551020408163,0.6326530612244897,0.8666666666666667,0.6313131313131313,auc,1,0.23562182031301426,164
balanced,dart,101,0.018962368575084928,160000,215,0.836734693877551,0.16326530612244897,0.6444444444444444,0.6565656565656566,auc,1,0.23565578743540538,141
balanced,dart,134,0.07434437865632709,60000,275,0.44897959183673464,0.4081632653061224,0.8222222222222222,0.5303030303030303,auc,1,0.23565710699604303,455
,gbdt,110,0.043845419886860144,260000,215,0.5918367346938775,0.836734693877551,0.8222222222222222,0.5202020202020202,auc,1,0.23597245647748688,37
balanced,gbdt,141,0.12421023520674607,40000,230,0.04081632653061224,0.44897959183673464,0.6444444444444444,0.9595959595959596,auc,1,0.23622781290687844,403
,gbdt,78,0.030196332879124828,200000,220,0.5510204081632653,1.0,0.6444444444444444,0.8383838383838385,auc,1,0.23624833099548426,30
,dart,109,0.07191428439547362,160000,295,0.9795918367346939,0.7142857142857142,0.6,0.8333333333333334,auc,1,0.23624849527475633,58
balanced,dart,47,0.01709975946676697,140000,240,0.3877551020408163,0.9183673469387754,0.6444444444444444,0.7272727272727273,auc,1,0.23631683545193782,222
balanced,dart,133,0.02149894496984163,240000,480,0.5918367346938775,0.8979591836734693,0.8222222222222222,0.9090909090909092,auc,1,0.23631758143682347,328
balanced,dart,57,0.11451879873398406,200000,270,0.6326530612244897,0.6938775510204082,0.9555555555555555,0.994949494949495,auc,1,0.23632208846388347,421
,goss,73,0.10100717376671212,40000,485,0.36734693877551017,0.8571428571428571,0.8666666666666667,1.0,auc,1,0.23638726948898825,60
balanced,goss,46,0.011349672651536741,240000,250,0.6122448979591836,0.6122448979591836,0.6888888888888889,1.0,auc,1,0.23639946456170913,466
,gbdt,67,0.08460116899778225,120000,225,0.22448979591836732,0.673469387755102,0.7777777777777778,0.6212121212121212,auc,1,0.2364804668581426,261
,gbdt,110,0.10026396895331954,160000,200,0.6530612244897959,0.9387755102040816,0.6444444444444444,0.9545454545454546,auc,1,0.23660271502614838,323
,dart,117,0.11494244934547872,140000,445,0.4897959183673469,0.8571428571428571,0.8666666666666667,0.595959595959596,auc,1,0.23660284818767452,229
balanced,goss,53,0.005055696505862444,40000,470,0.6122448979591836,0.5510204081632653,0.7777777777777778,1.0,auc,1,0.23661730167987605,166
,gbdt,104,0.01177660130394154,80000,290,0.1020408163265306,0.6122448979591836,0.8666666666666667,0.9696969696969697,auc,1,0.23665798210555788,376
,goss,117,0.02206189400106402,220000,255,0.14285714285714285,0.3061224489795918,0.6888888888888889,1.0,auc,1,0.23666511844199112,346
balanced,gbdt,142,0.005226536265540098,260000,195,0.3469387755102041,0.36734693877551017,0.6,0.5202020202020202,auc,1,0.2366905792061017,210
balanced,dart,97,0.007422701832211806,160000,470,0.14285714285714285,0.8775510204081632,0.7333333333333333,0.6060606060606061,auc,1,0.23669494241871336,61
balanced,gbdt,70,0.009541378930619003,240000,490,0.32653061224489793,0.16326530612244897,0.7777777777777778,0.696969696969697,auc,1,0.23671041634871437,169
